ano-mes-dia horario,mp10 (ug/m3),mp25 (ug/m3)
2020-04-28,35.46982691408845,11.642491232745101
2020-04-29,13.75283534457716,7.8817527423476035
2020-04-30,20.515483955969074,9.576285210648098
2020-05-01,15.467696432560656,8.142044707631888
2020-05-02,19.806308574232222,9.825518728575272
2020-05-03,19.662563308615194,10.227186590181859
2020-05-04,18.731369714096186,10.287992424119679
2020-05-05,16.48007013277177,8.316458608898092
2020-05-06,12.506888532720964,6.133002031402735
2020-05-07,17.57365062268866,6.834928756646704
2020-05-08,12.518345236921396,5.58186797003487
2020-05-09,7.795067738855081,3.8253278427936457
2020-05-10,12.527815072424326,6.706636747884853
2020-05-11,15.748560937629042,8.026162490374714
2020-05-12,15.682442314915052,7.590805558584445
2020-05-13,19.87380554219443,10.477946733795179
2020-05-14,23.545233542900643,11.938552580806245
2020-05-15,20.231378534145893,8.409793873285034
2020-05-16,20.900941758408774,8.091508151139823
2020-05-17,14.860692067143889,8.00940923758977
2020-05-18,17.690454601939532,9.34114506856314
2020-05-19,15.343441702395918,10.033132145813559
2020-05-20,16.383882933892608,10.36299711947124
2020-05-21,15.144984253821564,8.342539044481004
2020-05-22,13.882262795557958,7.035935137479553
2020-05-23,8.19718805291288,4.258155444365708
2020-05-24,11.892449322645215,5.495685047910781
2020-05-25,3.6332188350808146,1.6190837135563347
2020-05-26,3.1332613561207316,1.3037231200940973
2020-05-27,8.746815765404678,4.209006826583247
2020-05-28,16.02873972275711,7.971908006423362
2020-05-29,16.608593740717875,7.9985326294307955
2020-05-30,29.833361008044168,16.10197618792339
2020-05-31,36.84400060226983,18.44481747394816
2020-06-01,30.138542624080042,16.907168969273737
2020-06-02,23.721857118778267,14.997820091219426
2020-06-03,14.527357598394598,8.538468526013494
2020-06-04,7.380760651743982,4.810520789737661
2020-06-05,20.260360833908518,10.653170872087296
2020-06-06,8.425378561666507,5.521489646106099
2020-06-07,7.065583931395281,4.108358347387617
2020-06-08,12.637186975702352,7.870717612490333
2020-06-09,11.06008169610165,6.362926661008198
2020-06-10,10.505041450716789,6.778129721525898
2020-06-11,15.430534144095462,10.603463822168074
2020-06-12,15.51852307438623,9.715006086812561
2020-06-13,13.303431214426006,8.364669567143928
2020-06-14,10.003155152300117,5.321290645201572
2020-06-15,11.903474027644167,7.479754187234765
2020-06-16,8.121309965059382,4.166804327886075
2020-06-17,9.69744417991503,5.219194612323051
2020-06-18,9.208046699037395,4.616603286822647
2020-06-19,7.64682683705356,3.2047432545306145
2020-06-20,12.48914572101638,6.064736024465117
2020-06-21,15.22803809507108,7.295305450046317
2020-06-22,13.243985013343494,6.254807596356473
2020-06-23,17.293716304446214,8.14331463177858
2020-06-24,16.826402958593437,8.392632325163685
2020-06-25,14.51433385720135,6.431712470943334
2020-06-26,11.093960375580894,5.061101206300955
2020-06-27,11.673429192307912,5.525985843104948
2020-06-28,9.44355168826709,5.038364505292429
2020-06-29,5.570113839175596,3.233210101869041
2020-06-30,6.1422697670634125,3.6764811243551394
2020-07-01,5.361269154926542,3.385451930700539
2020-07-02,5.643673761318588,3.253105932170063
2020-07-03,10.601758420084662,5.6924890959514345
2020-07-04,15.656541525625789,9.958623647533036
2020-07-05,19.28289913825434,12.395773061820377
2020-07-06,19.598741724349384,12.006933183350592
2020-07-07,15.659917056357598,10.355251964099468
2020-07-08,12.749954646239331,7.11718201371739
2020-07-09,15.312332608296755,9.939454152726663
2020-07-10,26.666680640179713,17.00953841194257
2020-07-11,13.69732316808707,7.259315173417312
